"Balance","Income","Limit","Rating","Cards","Age","Education"
95,24.543,3206,243,2,62,12
156,69.165,4668,341,2,34,11
863,16.711,5274,387,3,42,16
485,10.852,3907,296,2,30,9
5,16.279,1160,126,3,78,13
0,28.941,2733,210,5,43,16
836,12.238,4865,381,5,67,11
331,55.882,4897,357,2,68,16
148,19.144,3291,269,2,75,13
1448,158.889,11589,805,1,62,17
302,61.62,5140,374,1,71,9
99,53.48,4263,317,1,83,15
163,27.952,3557,263,1,35,13
246,41.025,4229,337,3,79,19
579,15.56,4307,352,4,57,8
1084,49.502,6819,505,4,55,14
0,16.819,1337,115,2,74,15
0,20.088,1870,180,3,76,16
1032,59.879,6906,527,6,78,15
380,62.328,5228,377,3,83,15
885,75.257,7010,494,3,34,18
0,15.629,2493,186,1,60,14
182,21.011,3402,261,2,68,17
601,23.989,4523,338,4,31,15
0,28.144,1567,142,3,51,10
849,101.788,8029,574,2,84,11
0,30.132,2168,206,3,52,17
580,21.786,4632,355,1,50,17
1361,125.48,10230,721,3,82,16
0,23.012,1410,137,3,81,16
1597,107.841,10384,728,3,87,7
463,14.479,3907,296,3,43,16
1298,63.534,8100,581,2,50,17
0,28.575,2959,231,2,60,11
907,21.551,5380,420,5,51,18
0,30.733,2832,249,4,51,13
1426,130.209,10088,730,7,39,19
510,40.442,4828,369,5,81,8
1404,26.427,5533,433,5,50,15
0,29.564,2529,192,1,30,12
1311,83.851,8494,607,5,47,18
271,16.482,3326,268,4,41,15
465,10.588,4049,296,1,66,13
419,23.35,2558,220,3,49,12
1425,39.831,6045,459,3,32,12
762,62.413,6457,455,2,71,11
414,44.061,4970,352,1,79,11
531,51.872,5294,390,4,81,17
0,36.142,1852,183,3,33,13
724,14.887,4745,339,3,58,12
0,29.403,2327,178,1,37,14
710,19.636,4896,387,3,64,10
588,29.4,4840,368,3,76,18
204,80.616,5308,394,1,57,7
710,26.162,5101,382,3,62,19
1352,24.824,5495,409,1,33,9
0,20.103,2631,213,3,61,10
891,49.57,6384,448,1,28,9
295,59.855,4964,365,1,46,13
0,30.012,1511,137,2,33,17
1086,63.809,7530,515,1,56,12
81,25.078,3096,236,2,27,15
0,27.578,2531,195,1,34,15
0,15.333,1499,138,2,47,9
926,32.856,5884,438,4,68,13
0,27.59,2586,229,5,54,16
0,23.857,1501,150,3,56,16
671,14.09,4323,326,5,25,16
1255,16.751,4706,353,6,48,14
0,53.319,3000,235,3,53,13
0,23.365,2179,167,2,75,15
937,16.479,5435,388,2,26,16
132,28.474,3202,267,5,66,12
772,39.055,5565,410,4,48,18
0,27.039,2161,173,3,40,17
0,15.354,2101,171,2,65,14
732,17.765,5072,364,1,66,12
661,115.123,7760,538,3,83,14
216,23.793,3615,263,2,70,14
0,31.353,1705,160,3,81,14
967,30.55,5869,439,5,81,9
0,18.036,1552,142,2,48,15
0,10.726,1568,162,5,46,19
843,92.386,7685,534,2,75,18
0,11.741,2271,182,4,59,12
357,24.889,3954,318,4,75,12
0,10.742,1757,156,3,57,15
0,41.4,2561,215,2,36,14
0,20.089,2525,200,3,57,15
52,15.476,2762,215,3,60,18
0,27.47,2820,219,1,32,11
835,34.664,5835,452,3,77,15
701,121.709,7818,584,4,50,6
0,14.711,2047,167,2,67,6
1216,10.842,4391,358,5,37,10
0,15.717,905,93,1,38,16
637,39.422,5245,383,2,44,19
333,14.891,3606,283,2,34,11
1151,80.18,8047,569,4,77,10
203,20.996,3388,259,2,37,12
872,71.408,7114,512,2,87,9
0,15.045,1311,138,3,64,16
1081,43.682,6922,511,1,49,9
0,53.598,3714,286,3,73,17
1048,42.079,6626,479,2,44,9
89,17.7,2860,235,4,63,16
968,37.348,6378,458,1,72,17
654,42.471,3625,289,6,44,12
1809,186.634,13414,949,2,41,14
915,26.813,5611,411,4,55,16
863,34.142,5666,413,4,47,5
526,134.181,7838,563,2,48,13
0,31.367,1829,162,4,30,10
0,20.15,2646,199,2,25,14
531,11.795,3899,300,4,25,10
344,13.647,3461,264,4,47,14
1155,113.659,7659,538,2,66,15
385,44.158,4763,351,2,66,13
1241,19.531,5043,376,2,64,16
0,44.522,2252,205,6,72,15
654,36.362,5183,376,3,49,15
211,39.705,3969,301,2,27,20
607,44.205,5441,394,1,32,12
957,16.304,5466,413,4,66,10
0,32.916,1786,154,2,60,8
379,57.1,4742,372,7,79,18
133,76.273,4779,367,4,65,14
333,10.354,3480,281,2,70,17
631,35.51,5198,364,2,35,20
108,21.238,3089,254,3,59,10
0,30.682,1671,160,2,77,7
133,14.132,2998,251,4,75,17
0,32.164,2937,223,2,79,15
602,12,4160,320,4,28,14
889,11.187,5099,380,4,69,16
822,27.847,5619,418,2,78,15
1103,58.781,7402,538,2,81,12
663,22.939,4923,355,1,47,18
29,33.017,3180,224,2,28,16
145,20.936,3254,253,1,30,15
391,110.968,6662,468,3,45,11
503,23.672,4433,344,3,63,11
0,19.225,1433,122,3,38,14
0,43.54,2906,232,4,69,11
1779,152.298,12066,828,4,41,12
815,55.367,6340,448,1,33,15
1176,59.53,7518,543,3,52,9
0,38.009,3075,245,3,45,15
0,14.084,855,120,5,46,17
1380,14.312,5382,367,1,59,17
155,26.067,3388,266,4,74,17
375,36.295,2963,241,2,68,14
298,21.153,3736,256,1,41,11
431,17.976,2433,190,3,70,16
1587,68.713,7582,531,2,56,16
745,15.846,4768,365,4,53,12
210,12.031,3182,259,2,58,18
0,39.11,3189,263,3,72,12
227,107.986,6033,449,4,64,14
297,13.561,3261,279,5,37,19
768,69.251,6386,474,4,30,12
0,35.177,2117,186,3,62,16
1341,91.362,9113,626,1,47,17
0,27.241,1402,128,2,67,15
904,62.602,7056,481,1,84,11
0,11.808,1300,117,3,77,14
255,18.145,3461,279,3,56,15
1018,21.455,5829,427,4,80,12
8,44.473,3500,257,3,81,16
75,54.663,4116,314,2,70,8
187,36.355,3613,278,4,35,9
605,91.876,6754,483,2,33,10
68,17.392,2748,228,3,32,14
0,15.184,2420,192,2,69,11
0,13.444,886,121,5,44,10
581,63.931,5728,435,3,28,14
534,35.864,4831,353,3,66,13
0,55.056,3155,235,2,31,16
0,19.537,1362,143,4,34,9
429,31.811,4284,338,5,75,13
1020,56.256,5521,406,2,72,16
0,13.676,2330,203,5,80,16
0,35.691,2880,214,2,35,15
1099,27.33,6179,459,4,36,12
108,76.348,4697,344,4,60,18
1573,121.834,10673,750,3,54,16
0,24.05,2607,221,4,32,18
384,22.379,3965,292,2,34,14
1237,58.026,7499,560,5,67,11
423,10.635,3584,294,5,69,16
516,46.102,5180,382,3,81,12
789,58.929,6420,459,2,66,9
450,30.42,4442,316,1,30,14
188,36.472,3806,309,2,52,13
930,83.869,7667,554,2,83,11
538,55.187,5352,385,4,50,17
1687,124.29,9560,701,3,52,17
